id,path,type
1,dev.tempSetpoint,REAL
2,dev.tempHysteresis,REAL
3,dev.tempMin,REAL
4,dev.tempMax,REAL
5,dev.rhSetpoint,REAL
6,dev.rhHysteresis,REAL
7,dev.rhMin,REAL
8,dev.rhMax,REAL
9,dev.airDistributionEnabled,BOOL
10,dev.setPointTimeHigh,UINT
11,dev.setPointTimeLow,UINT
14,dev.ductTempMin,REAL
15,dev.ductTempMax,REAL
16,dev.ductRhMax,REAL
17,dev.rhControlEnabled,BOOL
18,dev.rhControlOnly,BOOL
20,dev.airMixingEnabled,BOOL
21,dev.estimatedRuntime,UDINT
22,dev.minRuntime,UDINT
23,dev.estimatedBreakDuration,UDINT
24,dev.minBreakDuration,UDINT
25,dev.processEstimatedDuration,UDINT
26,dev.processMinDuration,UDINT
27,dev.airFlowRef,REAL
28,dev.ahuFanSpeedSetpoint,REAL
29,dev.tempFeedback,REAL
30,dev.rhFeedback,REAL
33,dev.ductTempFeedback,REAL
34,dev.ductRhFeedback,REAL
35,dev.coldGlycolPump.actuatorId,STRING
36,dev.coldGlycolPump.actuatorName,STRING
37,dev.coldGlycolPump.actuationType,INT
38,dev.coldGlycolPump.feedbackType,INT
39,dev.coldGlycolPump.model,INT
40,dev.coldGlycolPump.enableTime,UINT
41,dev.coldGlycolPump.disableTime,UINT
42,dev.coldGlycolPump.diagnosticsEnable,BOOL
43,dev.hotGlycolPump.actuatorId,STRING
44,dev.hotGlycolPump.actuatorName,STRING
45,dev.hotGlycolPump.actuationType,INT
46,dev.hotGlycolPump.feedbackType,INT
47,dev.hotGlycolPump.model,INT
48,dev.hotGlycolPump.enableTime,UINT
49,dev.hotGlycolPump.disableTime,UINT
50,dev.hotGlycolPump.diagnosticsEnable,BOOL
51,dev.airFlow.actuatorId,STRING
52,dev.airFlow.actuatorName,STRING
53,dev.airFlow.actuationType,INT
54,dev.airFlow.feedbackType,INT
55,dev.airFlow.model,INT
56,dev.airFlow.enableTime,UINT
57,dev.airFlow.disableTime,UINT
58,dev.airFlow.diagnosticsEnable,BOOL
59,dev.coldGlycolValve.controlSystemId,STRING
60,dev.coldGlycolValve.controlSystemName,STRING
61,dev.coldGlycolValve.gain,REAL
62,dev.coldGlycolValve.integrationTime,REAL
63,dev.coldGlycolValve.derivationTime,REAL
64,dev.coldGlycolValve.setpointMin,REAL
65,dev.coldGlycolValve.setpointMax,REAL
66,dev.coldGlycolValve.outputMin,REAL
67,dev.coldGlycolValve.outputMax,REAL
68,dev.coldGlycolValve.atSetpointHysteresis,REAL
69,dev.coldGlycolValve.tickTime,TIME
70,dev.hotGlycolValve.controlSystemId,STRING
71,dev.hotGlycolValve.controlSystemName,STRING
72,dev.hotGlycolValve.gain,REAL
73,dev.hotGlycolValve.integrationTime,REAL
74,dev.hotGlycolValve.derivationTime,REAL
75,dev.hotGlycolValve.setpointMin,REAL
76,dev.hotGlycolValve.setpointMax,REAL
77,dev.hotGlycolValve.outputMin,REAL
78,dev.hotGlycolValve.outputMax,REAL
79,dev.hotGlycolValve.atSetpointHysteresis,REAL
80,dev.hotGlycolValve.tickTime,TIME
81,dev.ahuFan.controlSystemId,STRING
82,dev.ahuFan.controlSystemName,STRING
83,dev.ahuFan.gain,REAL
84,dev.ahuFan.integrationTime,REAL
85,dev.ahuFan.derivationTime,REAL
86,dev.ahuFan.setpointMin,REAL
87,dev.ahuFan.setpointMax,REAL
88,dev.ahuFan.outputMin,REAL
89,dev.ahuFan.outputMax,REAL
90,dev.ahuFan.atSetpointHysteresis,REAL
91,dev.ahuFan.tickTime,TIME
